transcript_id	gene_id	gene_name	type	gene_id.short	transcript_id.short	has_geneQTL	has_isofQTL	class	shared_isof	distinct_isof	subclass
ENSG00000259692.6_9	ENSG00000259692.6_9	AC104041.1	gene	ENSG00000259692	ENSG00000259692	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000205281.6	ENSG00000205281.6	GOLGA6L10	gene	ENSG00000205281	ENSG00000205281	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000259206.1	ENSG00000259206.1	RP13-608F4.8	gene	ENSG00000259206	ENSG00000259206	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000197978.8	ENSG00000197978.8	GOLGA6L9	gene	ENSG00000197978	ENSG00000197978	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000255769.3	ENSG00000255769.3	RP11-152F13.3	gene	ENSG00000255769	ENSG00000255769	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000215749.8	ENSG00000215749.8	RP13-996F3.5	gene	ENSG00000215749	ENSG00000215749	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000259328.1	ENSG00000259328.1	RP11-152F13.7	gene	ENSG00000259328	ENSG00000259328	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000259243.1	ENSG00000259243.1	RP13-996F3.4	gene	ENSG00000259243	ENSG00000259243	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000259429.5_2	ENSG00000259429.5_2	UBE2Q2P2	gene	ENSG00000259429	ENSG00000259429	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000259472.1	ENSG00000259472.1	RP13-996F3.3	gene	ENSG00000259472	ENSG00000259472	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000182774.13_9	ENSG00000182774.13_9	RPS17	gene	ENSG00000182774	ENSG00000182774	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000169609.14_5	ENSG00000169609.14_5	C15orf40	gene	ENSG00000169609	ENSG00000169609	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000140600.17_5	ENSG00000140600.17_5	SH3GL3	gene	ENSG00000140600	ENSG00000140600	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000225151.10_6	ENSG00000225151.10_6	GOLGA2P7	gene	ENSG00000225151	ENSG00000225151	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000184206.12_6	ENSG00000184206.12_6	GOLGA6L4	gene	ENSG00000184206	ENSG00000184206	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000230373.8_6	ENSG00000230373.8_6	GOLGA6L5P	gene	ENSG00000230373	ENSG00000230373	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000189136.9_5	ENSG00000189136.9_5	UBE2Q2P1	gene	ENSG00000189136	ENSG00000189136	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000177082.13_7	ENSG00000177082.13_7	WDR73	gene	ENSG00000177082	ENSG00000177082	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000166716.10_5	ENSG00000166716.10_5	ZNF592	gene	ENSG00000166716	ENSG00000166716	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000073417.15_7	ENSG00000073417.15_7	PDE8A	gene	ENSG00000073417	ENSG00000073417	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000229212.8_7	ENSG00000229212.8_7	AC044860.1	gene	ENSG00000229212	ENSG00000229212	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000172183.15_4	ENSG00000172183.15_4	ISG20	gene	ENSG00000172183	ENSG00000172183	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000140511.12_5	ENSG00000140511.12_5	HAPLN3	gene	ENSG00000140511	ENSG00000140511	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000140545.15_6	ENSG00000140545.15_6	MFGE8	gene	ENSG00000140545	ENSG00000140545	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000140534.14_5	ENSG00000140534.14_5	TICRR	gene	ENSG00000140534	ENSG00000140534	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000166821.9_6	ENSG00000166821.9_6	PEX11A	gene	ENSG00000166821	ENSG00000166821	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000157823.17_6	ENSG00000157823.17_6	AP3S2	gene	ENSG00000157823	ENSG00000157823	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000250021.7_9	ENSG00000250021.7_9	ARPIN-AP3S2	gene	ENSG00000250021	ENSG00000250021	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000242498.8_6	ENSG00000242498.8_6	ARPIN	gene	ENSG00000242498	ENSG00000242498	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000182054.10_4	ENSG00000182054.10_4	IDH2	gene	ENSG00000182054	ENSG00000182054	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000185043.12_6	ENSG00000185043.12_6	CIB1	gene	ENSG00000185043	ENSG00000185043	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000182768.9_4	ENSG00000182768.9_4	NGRN	gene	ENSG00000182768	ENSG00000182768	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000228998.4_6	ENSG00000228998.4_6	AC091167.1	gene	ENSG00000228998	ENSG00000228998	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000140575.13_5	ENSG00000140575.13_5	IQGAP1	gene	ENSG00000140575	ENSG00000140575	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000140577.16_7	ENSG00000140577.16_7	CRTC3	gene	ENSG00000140577	ENSG00000140577	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000182511.12_5	ENSG00000182511.12_5	FES	gene	ENSG00000182511	ENSG00000182511	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000196547.15_8	ENSG00000196547.15_8	MAN2A2	gene	ENSG00000196547	ENSG00000196547	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000166965.12_5	ENSG00000166965.12_5	RCCD1	gene	ENSG00000166965	ENSG00000166965	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000185518.11_3	ENSG00000185518.11_3	SV2B	gene	ENSG00000185518	ENSG00000185518	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000140557.12_5	ENSG00000140557.12_5	ST8SIA2	gene	ENSG00000140557	ENSG00000140557	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000185442.13_8	ENSG00000185442.13_8	FAM174B	gene	ENSG00000185442	ENSG00000185442	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000272888.7_7	ENSG00000272888.7_7	LINC01578	gene	ENSG00000272888	ENSG00000272888	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000259485.2_7	ENSG00000259485.2_7	LINC02253	gene	ENSG00000259485	ENSG00000259485	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000103852.13_8	ENSG00000103852.13_8	TTC23	gene	ENSG00000103852	ENSG00000103852	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000183060.15_6	ENSG00000183060.15_6	LYSMD4	gene	ENSG00000183060	ENSG00000183060	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000259363.6_7	ENSG00000259363.6_7	AC090825.1	gene	ENSG00000259363	ENSG00000259363	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000140471.17_5	ENSG00000140471.17_5	LINS1	gene	ENSG00000140471	ENSG00000140471	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000140479.17_6	ENSG00000140479.17_6	PCSK6	gene	ENSG00000140479	ENSG00000140479	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000184277.13_6	ENSG00000184277.13_6	TM2D3	gene	ENSG00000184277	ENSG00000184277	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000185596.16_3	ENSG00000185596.16_3	WASH3P	gene	ENSG00000185596	ENSG00000185596	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000161981.11_5	ENSG00000161981.11_5	SNRNP25	gene	ENSG00000161981	ENSG00000161981	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000103148.16_6	ENSG00000103148.16_6	NPRL3	gene	ENSG00000103148	ENSG00000103148	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000167930.17_7	ENSG00000167930.17_7	FAM234A	gene	ENSG00000167930	ENSG00000167930	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000103126.15_6	ENSG00000103126.15_6	AXIN1	gene	ENSG00000103126	ENSG00000103126	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000086504.17_7	ENSG00000086504.17_7	MRPL28	gene	ENSG00000086504	ENSG00000086504	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000129925.11_6	ENSG00000129925.11_6	PGAP6	gene	ENSG00000129925	ENSG00000129925	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000103202.13_7	ENSG00000103202.13_7	NME4	gene	ENSG00000103202	ENSG00000103202	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000242612.7_5	ENSG00000242612.7_5	DECR2	gene	ENSG00000242612	ENSG00000242612	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000256323.1	ENSG00000256323.1	AL049542.1	gene	ENSG00000256323	ENSG00000256323	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000007541.17_5	ENSG00000007541.17_5	PIGQ	gene	ENSG00000007541	ENSG00000007541	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000282907.1_8	ENSG00000282907.1_8	Z98883.1	gene	ENSG00000282907	ENSG00000282907	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000130731.16_8	ENSG00000130731.16_8	METTL26	gene	ENSG00000130731	ENSG00000130731	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000172366.20_7	ENSG00000172366.20_7	MCRIP2	gene	ENSG00000172366	ENSG00000172366	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000161996.19_5	ENSG00000161996.19_5	WDR90	gene	ENSG00000161996	ENSG00000161996	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000103260.9_7	ENSG00000103260.9_7	METRN	gene	ENSG00000103260	ENSG00000103260	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000103254.10_6	ENSG00000103254.10_6	ANTKMT	gene	ENSG00000103254	ENSG00000103254	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000103245.14_8	ENSG00000103245.14_8	CIAO3	gene	ENSG00000103245	ENSG00000103245	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000102854.16_7	ENSG00000102854.16_7	MSLN	gene	ENSG00000102854	ENSG00000102854	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000103227.19_8	ENSG00000103227.19_8	LMF1	gene	ENSG00000103227	ENSG00000103227	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000260807.7_9	ENSG00000260807.7_9	CEROX1	gene	ENSG00000260807	ENSG00000260807	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000090581.10_5	ENSG00000090581.10_5	GNPTG	gene	ENSG00000090581	ENSG00000090581	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000279930.1_5	ENSG00000279930.1_5	AL032819.2	gene	ENSG00000279930	ENSG00000279930	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000100726.15_4	ENSG00000100726.15_4	TELO2	gene	ENSG00000100726	ENSG00000100726	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000206053.13_8	ENSG00000206053.13_8	JPT2	gene	ENSG00000206053	ENSG00000206053	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000103024.7_6	ENSG00000103024.7_6	NME3	gene	ENSG00000103024	ENSG00000103024	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000074071.15_5	ENSG00000074071.15_5	MRPS34	gene	ENSG00000074071	ENSG00000074071	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000095906.17_6	ENSG00000095906.17_6	NUBP2	gene	ENSG00000095906	ENSG00000095906	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000099769.6_5	ENSG00000099769.6_5	IGFALS	gene	ENSG00000099769	ENSG00000099769	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000063854.13_5	ENSG00000063854.13_5	HAGH	gene	ENSG00000063854	ENSG00000063854	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000180185.11_3	ENSG00000180185.11_3	FAHD1	gene	ENSG00000180185	ENSG00000180185	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000140990.15_6	ENSG00000140990.15_6	NDUFB10	gene	ENSG00000140990	ENSG00000140990	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000140988.16_8	ENSG00000140988.16_8	RPS2	gene	ENSG00000140988	ENSG00000140988	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000255198.4_5	ENSG00000255198.4_5	SNHG9	gene	ENSG00000255198	ENSG00000255198	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000127554.13_4	ENSG00000127554.13_4	GFER	gene	ENSG00000127554	ENSG00000127554	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
